Mamoswine,473,473,0,Ice,Ground,Field,Field,Thick Fat,Oblivious,Quick Feet,110,130,80,70,60,80,33,Double Hit,1,Flail,1,Tackle,1,Ancient Power,13,Ice Fang,1,Fury Attack,1,Peck,4,Mud-Slap,10,Powder Snow,15,Ice Shard,16,Bulldoze,18,Mud Bomb,19,Endure,25,Avalanche,28,Take Down,30,Icy Wind,31,Mist,35,Earthquake,37,Amnesia,39,Thrash,43,Icicle Crash,47,Scary Face,51,Blizzard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar,Toxic,Hail,Ice Beam,Blizzard,Hyper Beam,Light Screen,Protect,Rain Dance,Earthquake,Dig,Double Team,Reflect,Sandstorm,Rock Tomb,Attract,Giga Impact,Stone Edge,Avalanche,Stealth Rock,Rock Slide,Hyper Voice,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bite,Ancient Power,Double-Edge,Fissure,Curse,Icicle Crash,Freeze-Dry,Take Down,Body Slam,Mud Shot,Icicle Spear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bulldoze,Mud-Slap,Block,Fury Cutter,Stomping Tantrum,Ancient Power,Iron Head,Icy Wind,Superpower,Knock Off,Endeavor,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porygon-Z,474,474,0,Normal,,Mineral,Mineral,Adaptability,Download,Analytic,85,76,70,135,70,99,1,Magnet Rise,1,Conversion,1,Tackle,1,Defense Curl,1,Conversion 2,1,Uproar,4,Sharpen,7,Psybeam,10,Agility,13,Recover,15,Thunder Shock,16,Charge Beam,25,Tri Attack,28,Discharge,29,Signal Beam,31,Lock-On,34,Magic Coat,34,Embargo,37,Thunderbolt,40,Trick Room,43,Psychic,46,Zap Cannon,49,Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Sunny Day,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Solar Beam,Iron Tail,Thunderbolt,Thunder,Psychic,Shadow Ball,Double Team,Shock Wave,Flamethrower,Fire Blast,Aerial Ace,Thief,Wild Charge,Nasty Plot,Recycle,Giga Impact,Flash,Thunder Wave,Psych Up,Dark Pulse,Dazzling Gleam,Trick Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Ally Switch,Electroweb,Uproar,Signal Beam,Wonder Room,Magnet Rise,Zen Headbutt,Magic Coat,Pain Split,Swift,Trick,Gravity,Icy Wind,Zap Cannon,Last Resort,Foul Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallade,475,475,0,Psychic,Fighting,Human-Like,Amorphous,Steadfast,Justified,Inner Focus,68,125,65,65,115,80,7,Slash,1,Confusion,1,Leer,1,Future Sight,1,Charm,1,Life Dew,1,Psybeam,1,Imprison,1,Draining Kiss,1,Hypnosis,1,Disarming Voice,1,Growl,1,Teleport,1,Leaf Blade,10,Fury Cutter,13,Psycho Cut,16,Night Slash,19,Aerial Ace,23,Protect,27,Zen Headbutt,32,Swords Dance,37,Close Combat,42,Helping Hand,47,False Swipe,49,Heal Pulse,52,Feint,56,Wide Guard,56,Quick Guard,57,Memento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Calm Mind,Toxic,Bulk Up,Hidden Power,Sunny Day,Taunt,Hyper Beam,Light Screen,Protect,Rain Dance,Safeguard,Dream Eater,Thunderbolt,Earthquake,Low Sweep,Psychic,Shadow Ball,Brick Break,Double Team,Reflect,Shock Wave,Rock Tomb,Aerial Ace,Torment,Rest,Attract,Thief,Skill Swap,Focus Blast,Energy Ball,False Swipe,Fling,Wild Charge,Drain Punch,Will-O-Wisp,Recycle,Giga Impact,Flash,Stone Edge,Thunder Wave,Swords Dance,Psych Up,Rock Slide,X-Scissor,Hyper Voice,Poison Jab,Dazzling Gleam,Grass Knot,Trick Room,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disable,Mean Look,Memento,Destiny Bond,Grudge,Shadow Sneak,Confuse Ray,Knock Off,Encore,Misty Terrain,Ally Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Bulldoze,Ally Switch,Mud-Slap,Laser Focus,Fury Cutter,Signal Beam,Fire Punch,Ice Punch,Thunder Punch,Magic Room,Wonder Room,Seismic Toss,Zen Headbutt,Magic Coat,Pain Split,Swift,Low Kick,Trick,Dual Chop,Vacuum Wave,Power-Up Punch,Knock Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probopass,476,476,0,Rock,Steel,Mineral,Mineral,Sturdy,Magnet Pull,Power Spot,60,45,145,85,150,40,1,Tri Attack,1,Harden,1,Tackle,1,Wide Guard,1,Gravity,1,Magnet Rise,1,Magnetic Flux,4,Iron Defense,4,Block,7,Rock Throw,10,Thunder Wave,10,Smack Down,13,Spark,16,Rock Slide,19,Rest,22,Power Gem,25,Discharge,28,Rock Blast,31,Sandstorm,34,Thunderbolt,37,Earth Power,40,Stone Edge,43,Zap Cannon,43,Lock-On,46,Head Smash,50,Body Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Sunny Day,Taunt,Hyper Beam,Protect,Dream Eater,Thunderbolt,Thunder,Earthquake,Double Team,Shock Wave,Sandstorm,Rock Tomb,Torment,Volt Switch,Attract,Explosion,Giga Impact,Rock Polish,Stone Edge,Thunder Wave,Stealth Rock,Rock Slide,Hyper Voice,Flash Cannon,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rollout,Double-Edge,Block,Wide Guard,Magnitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bulldoze,Ally Switch,Rollout,Mud-Slap,Block,Self-Destruct,Stomping Tantrum,Ancient Power,Fire Punch,Ice Punch,Thunder Punch,Iron Defense,Magnet Rise,Magic Coat,Pain Split,Iron Head,Gravity,Zap Cannon,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusknoir,477,477,0,Ghost,,Amorphous,Amorphous,Iron Fist,Pressure,Regenerator,45,100,135,65,135,45,1,Leer,1,Bind,1,Gravity,1,Thunder Punch,1,Ice Punch,1,Fire Punch,1,Night Shade,7,Disable,10,Astonish,16,Shadow Sneak,22,Will-O-Wisp,25,Payback,28,Curse,31,Shadow Ball,32,Shadow Punch,32,Hex,35,Confuse Ray,39,Mean Look,43,Future Sight,47,Destiny Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Calm Mind,Toxic,Sunny Day,Taunt,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Earthquake,Psychic,Shadow Ball,Brick Break,Double Team,Rock Tomb,Torment,Attract,Thief,Skill Swap,Focus Blast,Fling,Wild Charge,Drain Punch,Will-O-Wisp,Payback,Giga Impact,Flash,Psych Up,Dark Pulse,Rock Slide,Hyper Voice,Dazzling Gleam,Trick Room,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pain Split,Grudge,Memento,Haze,Imprison,Destiny Bond,Feint Attack,Ominous Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bind,Helping Hand,Bulldoze,Ally Switch,Mud-Slap,Laser Focus,Spite,Ominous Wind,Fire Punch,Ice Punch,Thunder Punch,Wonder Room,Seismic Toss,Pain Split,Trick,Leech Life,Gravity,Power-Up Punch,Icy Wind,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froslass,478,478,0,Ice,Ghost,Fairy,Mineral,Levitate,Snow Cloak,Cursed Body,70,70,70,110,70,110,1,Hex,1,Ominous Wind,1,Leer,1,Powder Snow,1,Crunch,1,Headbutt,1,Ice Fang,1,Bite,1,Weather Ball,6,Double Team,9,Ice Shard,12,Icy Wind,15,Astonish,18,Draining Kiss,24,Will-O-Wisp,27,Avalanche,30,Frost Breath,32,Shadow Ball,34,Ice Beam,38,Confuse Ray,42,Switcheroo,46,Hail,50,Blizzard,54,Aurora Veil,54,Destiny Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Toxic,Hail,Taunt,Ice Beam,Blizzard,Hyper Beam,Light Screen,Protect,Rain Dance,Safeguard,Thunderbolt,Thunder,Psychic,Shadow Ball,Double Team,Reflect,Shock Wave,Torment,Attract,Fling,Will-O-Wisp,Payback,Giga Impact,Flash,Avalanche,Thunder Wave,Psych Up,Dazzling Gleam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block,Disable,Switcheroo,Rollout,Icicle Crash,Spikes,Weather Ball,Hex,Fake Tears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Ally Switch,Rollout,Mud-Slap,Spikes,Laser Focus,Block,Spite,Signal Beam,Ominous Wind,Ice Punch,Pain Split,Trick,Icy Wind,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom,479,479,0,Electric,Ghost,Amorphous,Amorphous,Levitate,Levitate,Levitate,50,50,77,95,77,101,1,Astonish,1,Trick,4,Thunder Shock,7,Confuse Ray,10,Shock Wave,13,Double Team,19,Uproar,20,Electro Ball,22,Substitute,25,Charge Beam,28,Will-O-Wisp,28,Ominous Wind,31,Discharge,34,Shadow Ball,35,Hex,37,Charge,40,Thunderbolt,43,Dark Pulse,46,Pain Split,49,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Sunny Day,Light Screen,Protect,Rain Dance,Thunderbolt,Thunder,Shadow Ball,Double Team,Reflect,Shock Wave,Volt Switch,Rest,Thief,Wild Charge,Will-O-Wisp,Nasty Plot,Flash,Thunder Wave,Psych Up,Dark Pulse,Dazzling Gleam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Ally Switch,Electroweb,Mud-Slap,Spite,Uproar,Signal Beam,Ominous Wind,Pain Split,Swift,Trick,Sucker Punch,Zap Cannon,Foul Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uxie,480,480,0,Psychic,Fairy,No Eggs,No Eggs,Levitate,Levitate,Analytic,75,75,130,75,130,95,1,Confusion,1,Moonblast,1,Memento,6,Imprison,10,Endure,14,Swift,18,Yawn,21,Psybeam,22,Future Sight,26,Zen Headbutt,34,Flail,38,Extrasensory,42,Amnesia,46,Rest,50,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Calm Mind,Toxic,Sunny Day,Hyper Beam,Light Screen,Protect,Rain Dance,Giga Drain,Safeguard,Dream Eater,Solar Beam,Iron Tail,Thunderbolt,Thunder,Psychic,Shadow Ball,Double Team,Reflect,Shock Wave,Sandstorm,Skill Swap,Energy Ball,Fling,Wild Charge,Drain Punch,Nasty Plot,Recycle,Giga Impact,Flash,Thunder Wave,Stealth Rock,Psych Up,Dazzling Gleam,Grass Knot,U-turn,Trick Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Ally Switch,Mud-Slap,Laser Focus,Heal Bell,Signal Beam,Fire Punch,Ice Punch,Thunder Punch,Magic Room,Wonder Room,Seismic Toss,Role Play,Zen Headbutt,Magic Coat,Swift,Trick,Power-Up Punch,Knock Off,Foul Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesprit,481,481,0,Psychic,Fairy,No Eggs,No Eggs,Levitate,Levitate,Friend Guard,80,105,105,105,105,80,1,Confusion,1,Moonblast,1,Healing Wish,6,Imprison,10,Protect,14,Swift,21,Psybeam,22,Future Sight,26,Zen Headbutt,34,Copycat,38,Extrasensory,42,Charm,46,Rest,50,Psychic,56,Flatter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Calm Mind,Toxic,Sunny Day,Ice Beam,Blizzard,Hyper Beam,Light Screen,Protect,Rain Dance,Safeguard,Dream Eater,Iron Tail,Thunderbolt,Thunder,Psychic,Shadow Ball,Double Team,Reflect,Shock Wave,Sandstorm,Skill Swap,Energy Ball,Fling,Wild Charge,Drain Punch,Nasty Plot,Recycle,Giga Impact,Flash,Thunder Wave,Stealth Rock,Psych Up,Dazzling Gleam,Grass Knot,U-turn,Trick Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Ally Switch,Mud-Slap,Laser Focus,Signal Beam,Fire Punch,Ice Punch,Thunder Punch,Magic Room,Wonder Room,Role Play,Zen Headbutt,Magic Coat,Swift,Trick,Power-Up Punch,Knock Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azelf,482,482,0,Psychic,Fairy,No Eggs,No Eggs,Levitate,Levitate,Competitive,75,125,70,125,70,115,1,Confusion,1,Moonblast,6,Imprison,10,Detect,14,Swift,18,Uproar,21,Psybeam,22,Future Sight,26,Zen Headbutt,34,Last Resort,38,Extrasensory,42,Nasty Plot,46,Rest,50,Psychic,61,Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Calm Mind,Toxic,Sunny Day,Taunt,Hyper Beam,Light Screen,Protect,Rain Dance,Safeguard,Dream Eater,Iron Tail,Thunderbolt,Thunder,Psychic,Shadow Ball,Double Team,Reflect,Shock Wave,Flamethrower,Sandstorm,Fire Blast,Torment,Skill Swap,Energy Ball,Fling,Wild Charge,Drain Punch,Nasty Plot,Explosion,Payback,Recycle,Giga Impact,Flash,Thunder Wave,Stealth Rock,Psych Up,Dazzling Gleam,Grass Knot,U-turn,Trick Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Ally Switch,Mud-Slap,Laser Focus,Self-Destruct,Uproar,Signal Beam,Fire Punch,Ice Punch,Thunder Punch,Magic Room,Wonder Room,Role Play,Zen Headbutt,Magic Coat,Swift,Trick,Power-Up Punch,Knock Off,Last Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dialga,483,483,0,Steel,Dragon,No Eggs,No Eggs,Pressure,Full Metal Body,Telepathy,100,120,120,150,100,90,1,Scary Face,1,Dragon Breath,6,Metal Claw,10,Ancient Power,14,Slash,18,Power Gem,22,Metal Burst,26,Dragon Claw,30,Dragon Pulse,34,Iron Tail,38,Aura Sphere,42,Earth Power,46,Flash Cannon,50,Roar of Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragon Claw,Roar,Toxic,Bulk Up,Sunny Day,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Safeguard,Iron Tail,Thunderbolt,Thunder,Earthquake,Brick Break,Double Team,Shock Wave,Flamethrower,Sandstorm,Fire Blast,Rock Tomb,Aerial Ace,Rest,Overheat,Dragon Pulse,Shadow Claw,Giga Impact,Flash,Stone Edge,Thunder Wave,Stealth Rock,Psych Up,Rock Slide,Hyper Voice,Flash Cannon,Trick Room,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bulldoze,Mud-Slap,Fury Cutter,Stomping Tantrum,Ancient Power,Iron Defense,Magnet Rise,Swift,Iron Head,Gravity,Draco Meteor,Outrage,Twister,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palkia,484,484,0,Water,Dragon,No Eggs,No Eggs,Pressure,Clear Body,Telepathy,90,120,100,150,120,100,1,Scary Face,1,Dragon Breath,6,Water Pulse,10,Ancient Power,14,Slash,18,Power Gem,22,Aqua Ring,26,Dragon Claw,30,Dragon Pulse,34,Aqua Tail,38,Aura Sphere,42,Earth Power,46,Hydro Pump,50,Spacial Rend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Dragon Claw,Water Pulse,Roar,Toxic,Hail,Bulk Up,Sunny Day,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Safeguard,Thunderbolt,Thunder,Earthquake,Brick Break,Double Team,Shock Wave,Flamethrower,Sandstorm,Fire Blast,Rock Tomb,Aerial Ace,Rest,Focus Blast,Scald,Fling,Dragon Pulse,Shadow Claw,Giga Impact,Stone Edge,Avalanche,Thunder Wave,Psych Up,Rock Slide,Hyper Voice,Trick Room,Cut,Surf,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bulldoze,Mud-Slap,Dual Wingbeat,Fury Cutter,Stomping Tantrum,Ancient Power,Dive,Swift,Aqua Tail,Gravity,Draco Meteor,Liquidation,Outrage,Twister,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heatran,485,485,0,Fire,Steel,No Eggs,No Eggs,Flash Fire,Flame Body,Shell Armor,91,90,106,130,106,77,1,Eruption,1,Ancient Power,6,Metal Claw,6,Leer,10,Fire Fang,14,Metal Sound,18,Crunch,22,Scary Face,26,Lava Plume,30,Fire Spin,34,Iron Head,38,Earth Power,42,Heat Wave,46,Stone Edge,50,Magma Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar,Toxic,Sunny Day,Taunt,Hyper Beam,Protect,Solar Beam,Earthquake,Dig,Double Team,Flamethrower,Fire Blast,Rock Tomb,Torment,Attract,Overheat,Dragon Pulse,Will-O-Wisp,Explosion,Payback,Giga Impact,Stone Edge,Stealth Rock,Dark Pulse,Rock Slide,Hyper Voice,Flash Cannon,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bulldoze,Mud-Slap,Self-Destruct,Uproar,Stomping Tantrum,Ancient Power,Iron Defense,Iron Head,Scorching Sands,Heat Wave,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regigigas,486,486,0,Normal,,No Eggs,No Eggs,Friend Guard,Defeatist,Normalize,110,160,110,80,110,100,1,Pound,1,Ice Punch,1,Fire Punch,1,Thunder Punch,1,Dizzy Punch,6,Knock Off,10,Confuse Ray,18,Stomp,18,Drain Punch,22,Revenge,24,Protect,26,Zen Headbutt,30,Payback,34,Block,36,Mega Punch,38,Nature Power,42,Crush Grip,42,Body Press,46,Superpower,48,Wide Guard,50,Giga Impact,60,Heavy Slam,66,Hammer Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Sunny Day,Hyper Beam,Protect,Rain Dance,Safeguard,Thunderbolt,Thunder,Earthquake,Brick Break,Double Team,Shock Wave,Rock Tomb,Aerial Ace,Focus Blast,Fling,Drain Punch,Payback,Giga Impact,Rock Polish,Stone Edge,Avalanche,Thunder Wave,Psych Up,Rock Slide,Hyper Voice,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bulldoze,Mud-Slap,Block,Self-Destruct,Stomping Tantrum,Ancient Power,Fire Punch,Ice Punch,Thunder Punch,Seismic Toss,Zen Headbutt,Iron Head,Gravity,Power-Up Punch,Icy Wind,Superpower,Knock Off,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giratina,487,487,0,Ghost,Dragon,No Eggs,No Eggs,Pressure,Cursed Body,Telepathy,150,100,120,100,120,90,18,Shadow Sneak,1,Dragon Breath,1,Scary Face,6,Ominous Wind,10,Ancient Power,14,Slash,21,Hex,22,Destiny Bond,26,Dragon Claw,30,Shadow Ball,34,Shadow Claw,38,Aura Sphere,42,Earth Power,46,Dragon Pulse,50,Shadow Force,56,Pain Split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragon Claw,Calm Mind,Roar,Toxic,Sunny Day,Hyper Beam,Protect,Rain Dance,Safeguard,Iron Tail,Thunderbolt,Thunder,Earthquake,Psychic,Shadow Ball,Double Team,Shock Wave,Aerial Ace,Rest,Steel Wing,Energy Ball,Wild Charge,Dragon Pulse,Will-O-Wisp,Shadow Claw,Payback,Giga Impact,Stone Edge,Thunder Wave,Psych Up,Dark Pulse,Hyper Voice,Dazzling Gleam,Cut,Fly,Strength,Defog,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bulldoze,Air Cutter,Mud-Slap,Dual Wingbeat,Fury Cutter,Spite,Ancient Power,Ominous Wind,Tailwind,Magic Coat,Pain Split,Swift,Iron Head,Aqua Tail,Gravity,Icy Wind,Draco Meteor,Outrage,Twister,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
